Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
910,0,0,Jason Collins,ATL,31,24,17,7,4.8,0.7,0.3,1,34.8,0,0,0,0,0.1,0,0.2,0.4,0.6,0.2,0.2,0.1,0.1,0.9,0,0,-0.4
910,0,0,Joe Alexander,CHI,23,8,1,7,3.6,0.5,0.1,0.8,16.7,0,0.1,0,0.3,0.4,66.7,0.3,0.4,0.6,0.3,0,0.1,0.1,1.1,0,0,-1.3
910,0,0,Jason Hart,NOH,32,5,2,3,4.5,0.4,0.2,0.4,50,0,0,0,0,0,0,0,0.4,0.4,1.2,0.6,0.4,0.2,0.8,0,0,1
910,0,0,JamesOn Curry,LAC,24,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,0,0,Dwayne Jones,PHX,27,2,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0,-1.5
809,C,1,Dwight Howard,ORL,23,79,57,22,35.7,20.6,7.1,12.4,57.2,0,0,0,6.4,10.7,59.4,4.3,9.6,13.8,1.4,3,1,2.9,3.4,63,1,7
809,C,1,Yao Ming,HOU,28,77,50,27,33.6,19.7,7.4,13.4,54.8,0,0,100,4.9,5.7,86.6,2.6,7.2,9.9,1.8,3,0.4,1.9,3.3,38,0,5.9
809,C,1,Shaquille O'Neal,PHX,37,75,44,31,30,17.8,6.8,11.2,60.9,0,0,0,4.1,6.9,59.5,2.5,5.9,8.4,1.7,2.2,0.7,1.4,3.4,30,0,1.9
809,F,1,LeBron James,CLE,24,81,66,15,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,1.3,6.3,7.6,7.2,3,1.7,1.1,1.7,29,7,10.7
809,F,1,Dirk Nowitzki,DAL,31,81,49,32,37.7,25.9,9.6,20,47.9,0.8,2.1,35.9,6,6.7,89,1.1,7.3,8.4,2.4,1.9,0.8,0.8,2.2,26,0,3
809,F,1,Carmelo Anthony,DEN,25,66,45,21,34.5,22.8,8.1,18.3,44.3,1,2.6,37.1,5.6,7.1,79.3,1.6,5.2,6.8,3.4,3,1.1,0.4,3,12,0,4.6
809,F,1,Paul Pierce,BOS,31,81,61,20,37.5,20.5,6.7,14.6,45.7,1.5,3.8,39.1,5.7,6.8,83,0.7,5,5.6,3.6,2.8,1,0.3,2.7,7,0,6.6
809,F,1,Tim Duncan,SAS,33,75,49,26,33.7,19.3,7.4,14.8,50.4,0,0,0,4.5,6.4,69.2,2.7,8,10.7,3.5,2.2,0.5,1.7,2.3,49,0,3.5
809,F,1,Pau Gasol,LAL,28,81,64,17,37,18.9,7.3,12.9,56.7,0,0,50,4.2,5.4,78.1,3.2,6.4,9.6,3.5,1.9,0.6,1,2.1,37,1,7
809,G,1,Dwyane Wade,MIA,27,79,42,37,38.6,30.2,10.8,22,49.1,1.1,3.5,31.7,7.5,9.8,76.5,1.1,3.9,5,7.5,3.4,2.2,1.3,2.3,20,0,2.7
809,G,1,Kobe Bryant,LAL,30,82,65,17,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,2.6,1.5,0.5,2.3,8,2,8
809,G,1,Chris Paul,NOH,24,78,47,31,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,0.9,4.7,5.5,11,3,2.8,0.1,2.7,50,6,4.5
809,G,1,Brandon Roy,POR,24,78,52,26,37.2,22.6,8.1,16.9,48,1.1,2.8,37.7,5.3,6.5,82.4,1.3,3.4,4.7,5.1,1.9,1.1,0.3,1.6,3,0,6.5
809,G,1,Tony Parker,SAS,27,72,47,25,34.1,22,8.9,17.5,50.6,0.3,0.9,29.2,3.9,5,78.2,0.4,2.7,3.1,6.9,2.6,0.9,0.1,1.5,15,0,4.5
809,G,1,Chauncey Billups,DEN,32,79,54,25,35.3,17.7,5.2,12.4,41.8,2.1,5,40.8,5.3,5.8,91.3,0.4,2.6,3,6.4,2.2,1.2,0.2,2,10,0,3.6
809,0,0,Danny Granger,IND,26,67,27,40,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6,6.9,87.8,0.7,4.4,5.1,2.7,2.5,1,1.4,3.1,6,0,1
809,0,0,Kevin Durant,OKC,20,74,18,56,39,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,1,5.5,6.5,2.8,3,1.3,0.7,1.8,15,0,-6.8
809,0,0,Kevin Martin,SAC,26,51,12,39,38.2,24.6,6.7,15.9,42,2.3,5.4,41.5,9,10.3,86.7,0.6,3,3.6,2.7,2.9,1.2,0.2,2.3,1,0,-5.9
809,0,0,Al Jefferson,MIN,24,50,17,33,36.7,23.1,9.7,19.5,49.7,0,0.1,0,3.7,5,73.8,3.4,7.5,11,1.6,1.8,0.8,1.7,2.8,30,0,-2.1
809,0,0,Chris Bosh,TOR,25,77,31,46,38,22.7,8,16.4,48.7,0.2,0.6,24.5,6.5,8,81.7,2.8,7.2,10,2.5,2.3,0.9,1,2.5,43,0,-1.1
809,0,0,Antawn Jamison,WAS,33,81,19,62,38.2,22.2,8.3,17.8,46.8,1.4,3.9,35.1,4.2,5.6,75.4,2.4,6.5,8.9,1.9,1.5,1.2,0.3,2.7,38,0,-5.9
809,0,0,Amar'e Stoudemire,PHX,26,53,30,23,36.8,21.4,7.6,14.1,53.9,0.1,0.1,42.9,6.1,7.3,83.5,2.2,5.9,8.1,2,2.8,0.9,1.1,3.1,16,0,2.2
809,0,0,Joe Johnson,ATL,28,79,45,34,39.5,21.4,7.8,18,43.7,1.9,5.2,36,3.8,4.6,82.6,0.8,3.6,4.4,5.8,2.5,1.1,0.2,2.2,4,1,2.3
809,0,0,Devin Harris,NJN,26,69,30,39,36.1,21.3,6.6,15.1,43.8,0.9,3.2,29.1,7.2,8.8,82,0.4,2.9,3.3,6.9,3.1,1.7,0.2,2.4,16,0,-1.4
809,0,0,Michael Redd,MIL,29,33,17,16,36.5,21.2,7.5,16.6,45.5,2.1,5.8,36.6,4,4.9,81.4,0.7,2.5,3.2,2.7,1.6,1.1,0.1,1.4,1,0,2.4
809,0,0,David West,NOH,28,76,45,31,39.2,21,8,17,47.2,0.1,0.3,24,4.8,5.5,88.4,2.1,6.4,8.5,2.3,2.1,0.6,0.9,2.7,29,0,3
809,0,0,Zach Randolph,LAC,27,50,19,31,35.1,20.8,8.3,17.5,47.5,0.6,1.9,33,3.6,4.9,73.4,3.1,6.9,10.1,2.1,2.3,0.9,0.3,2.7,29,0,-2.9
809,0,0,Caron Butler,WAS,29,67,15,52,38.6,20.8,7.3,16.2,45.3,1,3.1,31,5.1,6,85.8,1.8,4.4,6.2,4.3,3.1,1.6,0.3,2.5,11,0,-5.7
809,0,0,Vince Carter,NJN,32,80,34,46,36.8,20.8,7.4,16.8,43.7,1.9,4.9,38.5,4.2,5.1,81.7,0.9,4.2,5.1,4.7,2.1,1,0.5,2.9,8,1,-1.5
809,0,0,Stephen Jackson,GSW,31,59,21,38,39.6,20.7,7,16.9,41.4,1.7,5.2,33.8,5,6,82.6,1.2,3.9,5.1,6.5,3.9,1.5,0.5,2.6,9,1,-2.7
809,0,0,Ben Gordon,CHI,26,82,41,41,36.6,20.7,7.3,16,45.5,2.1,5.1,41,4,4.7,86.4,0.6,2.8,3.5,3.4,2.4,0.9,0.3,2.2,0,0,0.3
809,0,0,Al Harrington,NYK,29,73,27,46,34.9,20.1,7.3,16.6,43.9,2.3,6.4,36.4,3.2,4,79.3,1.4,4.9,6.2,1.4,2.2,1.2,0.3,3.1,10,0,-1
809,0,0,Jamal Crawford,GSW,29,65,25,40,38.1,19.7,6.4,15.7,41,2.2,6.1,36,4.6,5.3,87.2,0.4,2.6,3,4.4,2.3,0.9,0.2,1.4,1,0,-3.2
809,0,0,Richard Jefferson,MIL,29,82,34,48,35.8,19.6,6.5,14.9,43.9,1.4,3.6,39.7,5.1,6.3,80.5,0.7,3.9,4.6,2.4,2,0.8,0.2,3.1,2,0,-1.2
809,0,0,Jason Terry,DAL,31,74,45,29,33.7,19.6,7.3,15.8,46.3,2.3,6.2,36.6,2.7,3,88,0.5,1.9,2.4,3.4,1.6,1.3,0.3,1.9,0,0,2
809,0,0,Deron Williams,UTA,25,68,39,29,36.8,19.4,6.8,14.5,47.1,1,3.3,31,4.8,5.6,84.9,0.4,2.5,2.9,10.7,3.4,1.1,0.3,2,44,0,2.3
809,0,0,Monta Ellis,GSW,23,25,12,13,35.7,19,7.8,17.2,45.1,0.3,1,30.8,3.1,3.8,83,0.6,3.8,4.3,3.7,2.7,1.6,0.3,2.7,1,0,-3.2
809,0,0,Rudy Gay,MEM,22,79,22,57,37.3,18.9,7.2,16,45.3,1.1,3.1,35.1,3.3,4.4,76.7,1.4,4.2,5.5,1.7,2.6,1.2,0.7,2.8,6,0,-5.5
809,0,0,Andre Iguodala,PHI,25,82,41,41,39.9,18.8,6.6,14,47.3,1,3.2,30.7,4.6,6.4,72.4,1.1,4.6,5.7,5.3,2.7,1.6,0.4,1.9,11,0,1.5
809,0,0,Corey Maggette,GSW,29,51,18,33,31.1,18.6,5.7,12.4,46.1,0.5,1.9,25.3,6.7,8.1,82.4,1,4.6,5.5,1.8,2.4,0.9,0.2,3.8,4,0,-2.9
809,0,0,O.J. Mayo,MEM,21,82,24,58,38.1,18.5,6.9,15.6,43.8,1.8,4.6,38.4,3,3.4,87.9,0.7,3.1,3.8,3.2,2.8,1.1,0.2,2.5,2,0,-5.1
809,0,0,John Salmons,CHI,29,79,27,52,37.5,18.3,6.5,13.8,47.2,1.6,3.8,41.7,3.6,4.4,83,0.7,3.5,4.2,3.2,2.1,1.1,0.3,2.3,3,0,-5.7
809,0,0,Richard Hamilton,DET,31,67,32,35,34,18.3,7,15.6,44.7,1,2.8,36.8,3.3,3.9,84.8,0.7,2.4,3.1,4.4,2,0.6,0.1,2.6,3,0,0.2
809,0,0,Ray Allen,BOS,33,79,59,20,36.4,18.2,6.3,13.2,48,2.5,6.2,40.9,3,3.2,95.2,0.8,2.7,3.5,2.8,1.7,0.9,0.2,2,0,0,7.9
809,0,0,LaMarcus Aldridge,POR,23,81,54,27,37.1,18.1,7.4,15.3,48.4,0.1,0.3,25,3.2,4.1,78.1,2.9,4.6,7.5,1.9,1.5,1,1,2.6,19,0,6
809,0,0,Josh Howard,DAL,29,52,33,19,32,18,6.8,15.1,45.1,1.1,3.2,34.5,3.3,4.2,78.2,1.1,3.9,5.1,1.6,1.7,1.1,0.6,2.6,6,0,4
809,0,0,Mo Williams,CLE,26,81,66,15,35,17.8,6.5,13.9,46.7,2.3,5.2,43.6,2.6,2.8,91.2,0.6,2.9,3.4,4.1,2.2,0.9,0.1,2.7,1,0,7.2
809,0,0,Rashard Lewis,ORL,29,79,58,21,36.2,17.7,6.1,13.8,43.9,2.8,7,39.7,2.8,3.4,83.6,1.2,4.6,5.7,2.6,2,1,0.6,2.5,4,0,7.4
809,0,0,Allen Iverson,DET,34,57,25,32,36.7,17.5,6.1,14.6,41.7,0.5,1.7,28.3,4.8,6.1,78.1,0.5,2.5,3,5,2.6,1.5,0.1,1.5,2,0,-0.8
809,0,0,Nate Robinson,NYK,25,74,28,46,29.8,17.2,6.1,13.9,43.7,1.7,5.2,32.5,3.4,4,84.1,1.3,2.6,3.9,4.1,1.9,1.3,0.1,2.8,4,0,0.1
809,0,0,Metta World Peace,HOU,29,69,47,22,35.5,17.1,6,15,40.1,2.2,5.6,39.9,2.8,3.8,74.8,0.9,4.3,5.2,3.3,2,1.5,0.3,2.2,3,0,4.6
809,0,0,Mehmet Okur,UTA,30,72,44,28,33.5,17,6,12.3,48.5,1.3,2.8,44.6,3.8,4.6,81.7,1.7,6,7.7,1.7,1.8,0.8,0.7,3,23,0,2.3
809,0,0,Jason Richardson,PHX,28,72,37,35,33.5,16.8,6.5,13.5,47.7,1.8,4.5,39.7,2.1,2.8,76.9,1.1,3.4,4.4,2,1.3,1.1,0.4,2,1,0,-0.3
809,0,0,Al Thornton,LAC,25,71,16,55,37.4,16.8,6.6,14.8,44.6,0.3,1.1,25.3,3.3,4.4,75.4,1.7,3.5,5.2,1.5,1.8,0.8,0.9,3.2,1,0,-8
809,0,0,Hedo Turkoglu,ORL,30,77,56,21,36.6,16.8,5.5,13.3,41.3,1.7,4.9,35.6,4.1,5.1,80.7,0.6,4.7,5.3,4.9,2.6,0.8,0.2,2.8,4,0,6.6
809,0,0,Derrick Rose,CHI,20,81,40,41,37,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,1.2,2.7,3.9,6.3,2.5,0.8,0.2,1.5,8,0,-1.5
809,0,0,Jameer Nelson,ORL,27,42,32,10,31.2,16.7,6.4,12.6,50.3,2,4.3,45.3,2,2.3,88.7,0.5,3,3.5,5.4,2,1.2,0.1,2.9,3,0,8.8
809,0,0,Gerald Wallace,CHA,26,71,32,39,37.6,16.6,5.5,11.4,48,0.5,1.8,29.8,5.1,6.4,80.4,1.6,6.2,7.8,2.7,2.1,1.7,0.9,3,20,0,0.7
809,0,0,Jeff Green,OKC,22,78,20,58,36.8,16.5,6.1,13.7,44.6,1.2,3.2,38.9,3.1,3.9,78.8,1.5,5.1,6.7,2,2.2,1,0.4,2.6,13,0,-5.3
809,0,0,Andre Miller,PHI,33,82,41,41,36.3,16.3,6,12.7,47.3,0.2,0.6,28.3,4.1,5,82.6,1.5,3,4.5,6.5,2.4,1.3,0.2,2.4,12,2,1.4
809,0,0,Randy Foye,MIN,25,70,19,51,35.6,16.3,5.7,14,40.7,1.6,4.4,36,3.3,3.9,84.6,0.5,2.6,3.1,4.3,2.1,1,0.4,2.9,2,0,-3
809,0,0,Charlie Villanueva,MIL,24,78,33,45,26.9,16.2,6.2,14,44.7,1.1,3.3,34.5,2.6,3.1,83.8,2,4.7,6.7,1.8,1.8,0.6,0.7,3.3,14,0,-0.9
809,0,0,Carlos Boozer,UTA,27,37,22,15,32.3,16.2,6.8,13.8,49,0,0,0,2.6,3.8,69.8,3,7.4,10.4,2.1,2.1,1.1,0.2,3.6,20,0,-1
809,0,0,Eric Gordon,LAC,20,78,19,59,34.3,16.1,5.3,11.6,45.6,1.7,4.3,38.9,3.8,4.5,85.4,0.6,2,2.6,2.8,2.1,1,0.4,2.2,0,0,-5.9
809,0,0,David Lee,NYK,26,81,32,49,34.9,16,6.4,11.7,54.9,0,0,0,3.1,4.1,75.5,3.2,8.6,11.7,2.1,1.9,1,0.3,3.2,65,0,-2.4
809,0,0,Kevin Garnett,BOS,33,57,44,13,31.1,15.8,6.9,13,53.1,0,0.1,25,1.9,2.3,84.1,1.4,7.1,8.5,2.5,1.6,1.1,1.2,2.2,22,0,8.4
809,0,0,Steve Nash,PHX,35,74,42,32,33.6,15.7,5.8,11.5,50.3,1.5,3.3,43.9,2.6,2.8,93.3,0.3,2.8,3,9.7,3.4,0.7,0.1,1.5,29,0,3.3
809,0,0,Tracy McGrady,HOU,30,35,20,15,33.8,15.6,5.4,13.9,38.8,1.3,3.3,37.6,3.6,4.5,80.1,0.6,3.8,4.4,5,2,1.2,0.4,1.1,2,1,2
809,0,0,Josh Smith,ATL,23,69,41,28,35.1,15.6,6.1,12.3,49.2,0.4,1.3,29.9,3.1,5.2,58.8,1.9,5.3,7.2,2.4,2.3,1.4,1.6,2.7,20,0,2.2
809,0,0,Manu Ginobili,SAS,31,44,32,12,26.8,15.5,5.1,11.2,45.4,1.6,4.8,33,3.8,4.3,88.4,0.5,4,4.5,3.6,2,1.5,0.4,2,0,0,2
809,0,0,Andrea Bargnani,TOR,23,78,30,48,31.5,15.4,5.5,12.3,45,1.5,3.7,40.9,2.8,3.4,83.1,0.9,4.4,5.3,1.2,1.7,0.4,1.2,3.1,6,0,-3.2
809,0,0,Russell Westbrook,OKC,20,82,23,59,32.5,15.3,5.3,13.4,39.8,0.4,1.6,27.1,4.3,5.2,81.5,2.2,2.7,4.9,5.3,3.3,1.3,0.2,2.3,10,1,-3.3
809,0,0,Thaddeus Young,PHI,21,75,39,36,34.4,15.3,6.3,12.8,49.5,0.7,2.2,34.1,1.9,2.5,73.5,1.9,3.2,5,1.1,1.6,1.3,0.3,2.2,2,0,2
809,0,0,JR Smith,DEN,23,81,53,28,27.7,15.2,5.2,11.7,44.6,2.2,5.6,39.7,2.5,3.4,75.4,0.5,3.1,3.7,2.8,1.9,1,0.2,2.3,2,0,4.4
809,0,0,Mike Dunleavy,IND,28,18,8,10,27.5,15.1,5.2,12.9,40.1,1.8,5,35.6,2.9,3.6,81.5,0.8,3,3.8,2.4,2.1,0.7,0.5,2,0,0,-1.7
809,0,0,T.J. Ford,IND,26,74,34,40,30.5,14.9,5.6,12.3,45.2,0.5,1.4,33.7,3.3,3.8,87.2,0.8,2.7,3.5,5.3,2.4,1.2,0.2,2.4,4,0,-1.1
809,0,0,Baron Davis,LAC,30,65,17,48,34.6,14.9,5.5,14.8,37,1.5,5,30.2,2.4,3.2,75.7,0.7,3,3.7,7.7,3,1.7,0.5,3,13,0,-5.4
809,0,0,Mike Bibby,ATL,31,79,47,32,34.7,14.9,5.5,12.7,43.5,2.1,5.4,39,1.7,2.2,78.9,0.5,3,3.5,5,1.6,1.2,0.1,1.8,4,0,0.8
809,0,0,Nene,DEN,26,77,51,26,32.6,14.6,5.6,9.2,60.4,0,0.1,20,3.5,4.8,72.3,2.4,5.4,7.8,1.4,1.9,1.2,1.3,3.6,20,0,3.9
809,0,0,Wilson Chandler,NYK,22,82,32,50,33.4,14.4,5.5,12.9,43.2,1.3,3.8,32.8,2.1,2.6,79.5,1.1,4.3,5.4,2.1,1.7,0.9,0.9,3,3,0,-2.6
809,0,0,Kelenna Azubuike,GSW,25,74,29,45,32.1,14.4,5.3,11.4,46.4,1.3,2.8,44.8,2.5,3.1,80.8,1.5,3.5,5,1.6,1.3,0.8,0.7,2.5,5,0,-1.7
809,0,0,Andrew Bynum,LAL,21,50,40,10,28.9,14.3,5.6,10,56,0,0,0,3,4.3,70.7,2.7,5.2,8,1.4,1.7,0.4,1.8,3.1,16,0,4.7
809,0,0,Troy Murphy,IND,29,73,31,42,34,14.3,5,10.5,47.5,2.2,4.9,45,2.1,2.5,82.6,2,9.8,11.8,2.4,1.6,0.8,0.5,3.1,49,0,-0.7
809,0,0,Leandro Barbosa,PHX,26,70,39,31,24.4,14.2,5.2,10.8,48.2,1.3,3.4,37.5,2.4,2.8,88.1,0.5,2.1,2.6,2.3,1.3,1.2,0.1,1.6,0,0,0.2
809,0,0,Tayshaun Prince,DET,29,82,39,43,37.3,14.2,5.6,12.4,45,0.7,1.7,39.7,2.3,3,77.8,1.6,4.2,5.8,3.1,1.2,0.5,0.6,1.3,11,0,-0.9
809,0,0,Raymond Felton,CHA,25,82,35,47,37.6,14.2,5.4,13.2,40.8,0.7,2.5,28.5,2.7,3.3,80.5,0.7,3.1,3.8,6.7,2.8,1.5,0.4,2.3,7,0,0
809,0,0,Luol Deng,CHI,24,49,23,26,34,14.1,5.4,12.1,44.8,0.2,0.4,40,3.1,3.9,79.6,1.6,4.4,6,1.9,1.5,1.2,0.5,1.7,7,0,-0.7
809,0,0,Michael Beasley,MIA,20,81,43,38,24.8,13.9,5.6,11.8,47.2,0.4,1,40.7,2.3,3,77.2,1.4,4.1,5.4,1,1.5,0.5,0.5,2.3,8,0,0.1
809,0,0,Marvin Williams,ATL,23,61,33,28,34.3,13.9,4.7,10.2,45.8,0.9,2.5,35.5,3.6,4.5,80.6,1.8,4.5,6.3,1.3,1.1,0.9,0.6,2.1,6,0,0
809,0,0,Elton Brand,PHI,30,29,13,16,31.7,13.8,5.6,12.6,44.7,0,0,0,2.5,3.7,67.6,2.7,6.1,8.8,1.3,2.3,0.6,1.6,2.7,10,0,0
809,0,0,Cuttino Mobley,LAC,33,11,2,9,33.1,13.7,5.7,13.3,43.2,1.1,3.2,34.3,1.2,1.6,72.2,0.8,1.8,2.6,1.1,1.6,1.4,0.2,1.9,0,0,-6.1
809,0,0,Ronnie Brewer,UTA,24,81,48,33,32.2,13.7,5.2,10.2,50.8,0.3,1,25.9,3,4.3,70.2,1.2,2.5,3.7,2.2,1.4,1.7,0.4,1.6,0,0,1
809,0,0,Marquis Daniels,IND,28,54,22,32,31.5,13.6,5.8,12.8,45.1,0.3,1.7,20,1.7,2.4,72.1,1.5,3.1,4.6,2.1,1.7,1.1,0.5,2.2,4,0,-0.4
809,0,0,Paul Millsap,UTA,24,76,44,32,30.1,13.5,5.3,9.9,53.4,0,0.1,0,3,4.3,69.9,3.3,5.3,8.6,1.8,1.7,1,1,3.8,29,0,3.6
809,0,0,Rodney Stuckey,DET,23,79,36,43,31.9,13.4,5.1,11.6,43.9,0.3,1,29.5,2.9,3.7,80.3,0.9,2.6,3.5,4.9,2.2,1,0.1,2.7,5,0,-0.9
809,0,0,Ryan Gomes,MIN,26,82,24,58,31.9,13.3,5.1,11.9,43.1,1.3,3.5,37.2,1.8,2.2,80.7,1.3,3.5,4.8,1.6,1.6,0.8,0.3,2.2,2,0,-4.2
809,0,0,Peja Stojakovic,NOH,32,61,35,26,34.2,13.3,4.7,11.8,39.9,2.4,6.3,37.8,1.5,1.7,89.4,0.7,3.6,4.3,1.2,0.8,0.9,0,1.7,1,0,3.4
809,0,0,Jermaine O'Neal,MIA,30,68,28,40,29.8,13.3,5.4,11.3,47.4,0,0,0,2.6,3.3,78.8,1.9,4.5,6.4,1.8,2.1,0.4,2,3.1,8,0,-1.7
809,0,0,Boris Diaw,CHA,27,81,41,40,34,13.2,5.5,10.9,50.7,0.9,2.2,41.4,1.2,1.8,68.7,1.5,3.9,5.3,4.1,2.7,0.8,0.7,2.5,8,0,0.9
809,0,0,Emeka Okafor,CHA,26,82,35,47,32.8,13.2,5.3,9.4,56.1,0,0,0,2.7,4.5,59.3,3.4,6.7,10.1,0.6,1.8,0.6,1.7,3,39,0,0.3
809,0,0,Jarrett Jack,IND,25,82,36,46,33.1,13.1,4.7,10.4,45.3,1,2.7,35.3,2.7,3.2,85.2,0.5,2.8,3.4,4.1,2.2,1.1,0.2,2.2,0,0,-0.4
809,0,0,Brook Lopez,NJN,21,82,34,48,30.5,13,5.5,10.3,53.1,0,0,0,2.1,2.6,79.3,2.7,5.4,8.1,1,1.8,0.5,1.8,3.1,18,0,-1.3
809,0,0,Gilbert Arenas,WAS,27,2,1,1,31.3,13,3,11.5,26.1,1,3.5,28.6,6,8,75,0.5,4,4.5,10,0.5,0,0.5,2,2,0,1
809,0,0,Shawn Marion,TOR,31,69,34,35,35.8,12.9,5.5,11.4,48.5,0.1,0.8,18.9,1.7,2.1,79.6,2.6,5.9,8.5,2,1.5,1.3,1,1.9,22,0,-0.5
809,0,0,Zydrunas Ilgauskas,CLE,34,65,55,10,27.2,12.9,5.3,11.1,47.2,0.2,0.6,38.5,2.1,2.7,79.9,2.4,5.1,7.5,1,1.4,0.4,1.3,2.8,14,0,7.6
809,0,0,Jose Calderon,TOR,27,68,28,40,34.3,12.8,4.7,9.5,49.7,1.2,3,40.6,2.2,2.3,98.1,0.2,2.6,2.9,8.9,2.1,1.1,0.1,1.7,22,0,-1.5
809,0,0,Lou Williams,PHI,22,81,41,40,23.7,12.8,4.1,10.4,39.8,0.8,2.7,28.6,3.8,4.8,79,0.4,1.6,2,3,1.9,1,0.2,1.6,0,0,-0.8
809,0,0,Travis Outlaw,POR,24,81,54,27,27.7,12.8,4.8,10.5,45.3,1.1,2.9,37.7,2.2,3,72.3,0.9,3.2,4.1,1,1.2,0.6,0.7,2.1,2,0,2
809,0,0,Luis Scola,HOU,29,82,53,29,30.3,12.7,5.2,9.7,53.1,0,0,0,2.4,3.1,76,2.4,6.3,8.8,1.5,1.5,0.8,0.1,3.2,28,0,2.6
809,0,0,Francisco Garcia,SAC,27,65,12,53,30.4,12.7,4.5,10.2,44.4,1.4,3.4,39.8,2.2,2.7,82,0.9,2.5,3.4,2.3,1.7,1.2,1,3,0,0,-6.6
809,0,0,Ramon Sessions,MIL,23,79,32,47,27.5,12.4,4.4,9.8,44.5,0.1,0.4,17.6,3.6,4.5,79.4,0.8,2.6,3.4,5.7,1.9,1.1,0.1,2,9,1,-0.3
809,0,0,Flip Murray,ATL,29,80,46,34,24.7,12.2,4.4,9.9,44.7,1.1,3,36,2.2,2.9,76,0.3,1.8,2.1,2,1.6,1.1,0.2,2.2,0,0,2.5
809,0,0,Rasheed Wallace,DET,34,66,32,34,32.2,12,4.6,10.9,41.9,1.7,4.8,35.4,1.2,1.5,77.2,0.8,6.6,7.4,1.4,0.9,0.9,1.3,3,15,0,1.3
809,0,0,Chris Kaman,LAC,27,31,6,25,29.7,12,5.2,9.8,52.8,0,0,0,1.6,2.4,68,2.4,5.5,8,1.5,2.7,0.5,1.5,3,9,0,-5.3
809,0,0,Grant Hill,PHX,36,82,46,36,29.8,12,4.8,9.1,52.3,0.3,0.9,31.6,2.2,2.7,80.8,0.8,4.2,4.9,2.3,1.5,1.1,0.7,2.2,5,0,2.2
809,0,0,Raja Bell,CHA,32,67,36,31,34.6,11.9,4.5,10.2,43.7,1.7,4,42.1,1.3,1.5,85.3,0.6,3,3.6,2.1,1.3,0.7,0.1,2.5,0,0,1.3
809,0,0,Rajon Rondo,BOS,23,80,62,18,33,11.9,4.8,9.5,50.5,0.2,0.6,31.3,2.2,3.4,64.2,1.3,4,5.2,8.2,2.6,1.9,0.1,2.4,15,2,6.4
809,0,0,Marc Gasol,MEM,24,82,24,58,30.7,11.9,4.3,8.1,53,0,0,0,3.4,4.6,73.3,2.5,4.9,7.4,1.7,2,0.8,1.1,3.2,17,0,-4.1
809,0,0,Brad Miller,CHI,33,70,25,45,30,11.9,4.2,8.8,47.6,0.3,0.8,41.1,3.2,3.9,82.4,2.1,5.6,7.8,3.3,1.9,0.7,0.5,3.2,16,0,-1.8
809,0,0,Drew Gooden,SAS,27,51,26,25,24.8,11.9,4.6,9.9,46.8,0,0.1,0,2.6,3.1,84,2.2,4.9,7.1,0.9,1.5,0.6,0.4,2.8,12,0,-2.5
809,0,0,Andris Biedrins,GSW,23,62,20,42,30.1,11.9,5,8.6,57.8,0,0,0,1.9,3.5,55.1,3.6,7.6,11.2,2,1.8,1,1.5,3.8,28,0,-2.9
809,0,0,Roger Mason Jr.,SAS,28,82,54,28,30.4,11.8,4.3,10,42.5,2,4.8,42.1,1.3,1.4,89,0.2,2.9,3.1,2.1,1.2,0.5,0.1,2,0,0,2.7
809,0,0,D.J. Augustin,CHA,21,72,30,42,26.5,11.8,3.7,8.6,43,1.5,3.4,43.9,2.9,3.2,89.3,0.2,1.6,1.8,3.5,1.7,0.6,0,1.9,1,0,-0.5
809,0,0,Delonte West,CLE,25,64,52,12,33.6,11.7,4.5,9.8,45.7,1.4,3.6,39.9,1.4,1.7,83.3,0.5,2.7,3.2,3.5,1.4,1.5,0.2,2,0,0,9.5
809,0,0,Andrew Bogut,MIL,24,36,19,17,31.2,11.7,5.1,8.8,57.7,0,0,0,1.6,2.7,57.1,3.3,7,10.3,2,2.4,0.6,1,3.6,16,0,2.5
809,0,0,Rafer Alston,ORL,32,77,48,29,31.8,11.7,4.1,10.6,38.5,1.5,4.3,33.8,2,2.7,75,0.4,2.5,2.9,5.3,1.8,1.4,0.1,1.8,3,0,2.7
809,0,0,Kenyon Martin,DEN,31,66,42,24,32,11.7,4.8,9.8,49.1,0.2,0.6,36.8,1.8,3,60.4,1.2,4.8,6,2,1.6,1.5,1.1,3,5,0,2.9
